"Location","Address","City","State","Link"
"Howell Mill","1942 Howell Mill Rd NW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00458?lat=33.7946333&long=-84.44877199999999'"
"West Midtown","1100 Northside Dr NW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/03551?lat=33.7946333&long=-84.44877199999999'"
"Georgia Tech","350 Ferst Dr","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/80000?lat=33.7946333&long=-84.44877199999999'"
"Peachtree at Collier","1901 Peachtree Rd NE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/01262?lat=33.7946333&long=-84.44877199999999'"
"Vine City","875 MLK JR. DR NW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/03822?lat=33.7946333&long=-84.44877199999999'"
"Smyrna (GA)","5120 S Cobb Dr SE","Smyrna","GA","'https://www.chick-fil-a.com/LocationRedirect/02191?lat=33.7946333&long=-84.44877199999999'"
"GA World Congress Center","285 Andrew Young International Blvd NW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/04097?lat=33.7946333&long=-84.44877199999999'"
"Morehouse College","830 Westview Dr Sw","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00931?lat=33.7946333&long=-84.44877199999999'"
"Mercedes-Benz Stadium","441 Martin Luther King Jr Dr NW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/03341?lat=33.7946333&long=-84.44877199999999'"
"West Paces Ferry","3419 Northside Pkwy NW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00440?lat=33.7946333&long=-84.44877199999999'"
"AT&T Center","725 W Peachtree St NE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/02977?lat=33.7946333&long=-84.44877199999999'"
"Colony Square","1175 Peachtree St NE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00238?lat=33.7946333&long=-84.44877199999999'"
"College Football Hall of Fame","256 Marietta St NW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/80148?lat=33.7946333&long=-84.44877199999999'"
"CNN Center","1 Cnn Ctr NW Ste 224","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/80571?lat=33.7946333&long=-84.44877199999999'"
"Peachtree Center","233 Peachtree St NE # B-40","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/01998?lat=33.7946333&long=-84.44877199999999'"
"Georgia State University","66 Courtland Street","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00703?lat=33.7946333&long=-84.44877199999999'"
"Grady Memorial Hospital","80 Jesse Hill Jr Dr Se","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00513?lat=33.7946333&long=-84.44877199999999'"
"Vinings","2485 Cumberland Pkwy SE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/03797?lat=33.7946333&long=-84.44877199999999'"
"Piedmont Road","2580 Piedmont Rd NE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/03351?lat=33.7946333&long=-84.44877199999999'"
"Terminus In-Line","3280 Peachtree Rd Ne Ste 105","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00495?lat=33.7946333&long=-84.44877199999999'"
"Cumberland Mall","2860 Cumberland Mall SE Ste 1324","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00801?lat=33.7946333&long=-84.44877199999999'"
"Akers Mill Drive-Thru Only","2975 Cobb Pkwy SE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00810?lat=33.7946333&long=-84.44877199999999'"
"Cascade Road","3725 Cascade Rd SW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00808?lat=33.7946333&long=-84.44877199999999'"
"Lenox Square","3393 Peachtree Rd NE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00683?lat=33.7946333&long=-84.44877199999999'"
"Glenwood Place","401 Bill Kennedy Way SE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/01873?lat=33.7946333&long=-84.44877199999999'"
"Chastain Square","4285 Roswell Rd NE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00815?lat=33.7946333&long=-84.44877199999999'"
"Truist Park OSL","755 Battery Ave SE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/03923?lat=33.7946333&long=-84.44877199999999'"
"North Druid Hills","2340 N Druid Hills Rd NE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00847?lat=33.7946333&long=-84.44877199999999'"
"South Cobb Drive","3100 S Cobb Dr SE","Smyrna","GA","'https://www.chick-fil-a.com/LocationRedirect/80252?lat=33.7946333&long=-84.44877199999999'"
"Windy Hill Road","2661 Windy Hill Rd SE","Marietta","GA","'https://www.chick-fil-a.com/LocationRedirect/00814?lat=33.7946333&long=-84.44877199999999'"
"Greenbriar Mall (GA)","2841 Greenbriar Pkwy SW","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/70001?lat=33.7946333&long=-84.44877199999999'"
"Cleveland Avenue","1065 Cleveland Ave","East Point","GA","'https://www.chick-fil-a.com/LocationRedirect/01496?lat=33.7946333&long=-84.44877199999999'"
"Downtown Decatur","105 E Trinity Pl","Decatur","GA","'https://www.chick-fil-a.com/LocationRedirect/00485?lat=33.7946333&long=-84.44877199999999'"
"Thornton Road","835 Thornton Rd","Lithia Springs","GA","'https://www.chick-fil-a.com/LocationRedirect/80527?lat=33.7946333&long=-84.44877199999999'"
"North Decatur","650 Decatur Village Way","Decatur","GA","'https://www.chick-fil-a.com/LocationRedirect/00250?lat=33.7946333&long=-84.44877199999999'"
"Sandy Springs","5925 Roswell Rd Ste C","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/03049?lat=33.7946333&long=-84.44877199999999'"
"Emory Decatur Hospital","2701 N Decatur Rd","Decatur","GA","'https://www.chick-fil-a.com/LocationRedirect/80517?lat=33.7946333&long=-84.44877199999999'"
"Delta Air Lines Headquarters","1030 Delta Blvd","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/80622?lat=33.7946333&long=-84.44877199999999'"
"Austell Road","3951 Austell Rd","Austell","GA","'https://www.chick-fil-a.com/LocationRedirect/00804?lat=33.7946333&long=-84.44877199999999'"
"Hapeville Dwarf House","461 N Central Ave","Hapeville","GA","'https://www.chick-fil-a.com/LocationRedirect/00636?lat=33.7946333&long=-84.44877199999999'"
"Camp Creek Parkway","3410 Camp Creek Pkwy","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00807?lat=33.7946333&long=-84.44877199999999'"
"North Druid Hills Drive-Thru Only","3905 N Druid Hills Rd","Decatur","GA","'https://www.chick-fil-a.com/LocationRedirect/01169?lat=33.7946333&long=-84.44877199999999'"
"Hartsfield-Jackson Atlanta Int'l Airport - Conc A","6000 N Terminal Pkwy","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/02799?lat=33.7946333&long=-84.44877199999999'"
"Perimeter Mall","4400 Ashford Dunwoody Rd Ne","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00757?lat=33.7946333&long=-84.44877199999999'"
"Perimeter at Hammond Drive","4350 Ashford Dunwoody Rd NE","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00802?lat=33.7946333&long=-84.44877199999999'"
"Hartsfield-Jackson Atlanta Int'l Airport - Conc C","7700 Spine Rd","Atlanta","GA","'https://www.chick-fil-a.com/LocationRedirect/00819?lat=33.7946333&long=-84.44877199999999'"
"Kennesaw State University - Marietta","1100 S Marietta Pkwy Se","Marietta","GA","'https://www.chick-fil-a.com/LocationRedirect/00626?lat=33.7946333&long=-84.44877199999999'"
"Chamblee Plaza","5450 Peachtree Industrial Blvd","Chamblee","GA","'https://www.chick-fil-a.com/LocationRedirect/70004?lat=33.7946333&long=-84.44877199999999'"
"Perimeter Pointe","1145 Mount Vernon Hwy","Dunwoody","GA","'https://www.chick-fil-a.com/LocationRedirect/00809?lat=33.7946333&long=-84.44877199999999'"
"Marietta Trade Center","170 Cobb Pkwy S","Marietta","GA","'https://www.chick-fil-a.com/LocationRedirect/03277?lat=33.7946333&long=-84.44877199999999'"
